GROUP,VALUE,COMPONENT,EXPERT,WEIGHT,N,AUC
CHANNEL,resample8k,voice,voice_q90,0.15,300,0.9450500000000001
CHANNEL,resample8k,voice,voice_q90,0.2,300,0.9453499999999999
CHANNEL,resample8k,voice,voice_max,0.0,300,0.94465
CHANNEL,resample8k,voice,voice_max,0.01,300,0.94465
CHANNEL,resample8k,voice,voice_max,0.025,300,0.9446
CHANNEL,resample8k,voice,voice_max,0.05,300,0.94455
CHANNEL,resample8k,voice,voice_max,0.075,300,0.94465
CHANNEL,resample8k,voice,voice_max,0.1,300,0.9449
CHANNEL,resample8k,voice,voice_max,0.15,300,0.9447
CHANNEL,resample8k,voice,voice_max,0.2,300,0.9445499999999999
CHANNEL,resample8k,voice,voice_share,0.0,300,0.94465
CHANNEL,resample8k,voice,voice_share,0.01,300,0.94605
CHANNEL,resample8k,voice,voice_share,0.025,300,0.9477
CHANNEL,resample8k,voice,voice_share,0.05,300,0.9494
CHANNEL,resample8k,voice,voice_share,0.075,300,0.9501999999999999
CHANNEL,resample8k,voice,voice_share,0.1,300,0.9509500000000001
CHANNEL,resample8k,voice,voice_share,0.15,300,0.9519
CHANNEL,resample8k,voice,voice_share,0.2,300,0.95335
CHANNEL,resample8k,voice,voice_composite,0.0,300,0.94465
CHANNEL,resample8k,voice,voice_composite,0.01,300,0.94505
CHANNEL,resample8k,voice,voice_composite,0.025,300,0.9458
CHANNEL,resample8k,voice,voice_composite,0.05,300,0.9466
CHANNEL,resample8k,voice,voice_composite,0.075,300,0.9474499999999999
CHANNEL,resample8k,voice,voice_composite,0.1,300,0.9480000000000001
CHANNEL,resample8k,voice,voice_composite,0.15,300,0.9497000000000001
CHANNEL,resample8k,voice,voice_composite,0.2,300,0.95055
CHANNEL,resample8k,music,music_energy,0.0,300,0.9887999999999999
CHANNEL,resample8k,music,music_energy,0.01,300,0.99
CHANNEL,resample8k,music,music_energy,0.025,300,0.9921000000000001
CHANNEL,resample8k,music,music_energy,0.05,300,0.9957999999999999
CHANNEL,resample8k,music,music_energy,0.075,300,0.9980499999999999
CHANNEL,resample8k,music,music_energy,0.1,300,0.9994000000000001
CHANNEL,resample8k,music,music_energy,0.15,300,0.99985
CHANNEL,resample8k,music,music_energy,0.2,300,1.0
CHANNEL,resample8k,music,music_q90,0.0,300,0.9887999999999999
CHANNEL,resample8k,music,music_q90,0.01,300,0.9892999999999998
CHANNEL,resample8k,music,music_q90,0.025,300,0.9899999999999999
CHANNEL,resample8k,music,music_q90,0.05,300,0.9914
CHANNEL,resample8k,music,music_q90,0.075,300,0.9931499999999999
CHANNEL,resample8k,music,music_q90,0.1,300,0.9945999999999999
CHANNEL,resample8k,music,music_q90,0.15,300,0.9974000000000001
CHANNEL,resample8k,music,music_q90,0.2,300,0.9984500000000001
CHANNEL,resample8k,music,music_max,0.0,300,0.9887999999999999
CHANNEL,resample8k,music,music_max,0.01,300,0.98915
CHANNEL,resample8k,music,music_max,0.025,300,0.9899
CHANNEL,resample8k,music,music_max,0.05,300,0.9909999999999999
CHANNEL,resample8k,music,music_max,0.075,300,0.9926499999999999
CHANNEL,resample8k,music,music_max,0.1,300,0.994
CHANNEL,resample8k,music,music_max,0.15,300,0.9964999999999999
CHANNEL,resample8k,music,music_max,0.2,300,0.9977
CHANNEL,resample8k,music,music_share,0.0,300,0.9887999999999999
CHANNEL,resample8k,music,music_share,0.01,300,0.9906999999999999
CHANNEL,resample8k,music,music_share,0.025,300,0.9930999999999999
CHANNEL,resample8k,music,music_share,0.05,300,0.9964500000000001
CHANNEL,resample8k,music,music_share,0.075,300,0.99885
CHANNEL,resample8k,music,music_share,0.1,300,0.9996499999999999
CHANNEL,resample8k,music,music_share,0.15,300,0.9999
CHANNEL,resample8k,music,music_share,0.2,300,1.0
CHANNEL,resample8k,music,music_composite,0.0,300,0.9887999999999999
CHANNEL,resample8k,music,music_composite,0.01,300,0.9895
CHANNEL,resample8k,music,music_composite,0.025,300,0.9904
CHANNEL,resample8k,music,music_composite,0.05,300,0.9925
CHANNEL,resample8k,music,music_composite,0.075,300,0.99365
CHANNEL,resample8k,music,music_composite,0.1,300,0.9951
CHANNEL,resample8k,music,music_composite,0.15,300,0.99815
CHANNEL,resample8k,music,music_composite,0.2,300,0.9995499999999999
