DATASET,VOICE_WEIGHT,FILE_WEIGHT,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE,ADS_DELTA,FILE_EER_DELTA,VOICE_EER_DELTA
phone,0.01,0.075,1200,1200,800,800,0.16414285714285715,0.16500000000000004,0.17000000000000004,0.956603125,0.9840593750000001,0.8339285714285715,0.9703312500000001,0.8475688392857144,0.007571428571428562,-0.014142857142857151,-0.0024999999999999467
yue,0.01,0.075,124,124,108,124,0.12228260869565216,0.10208333333333333,0.17741935483870966,0.9837962962962963,,0.8652162225338944,,,0.0,0.0,0.0
factorial,0.01,0.1,400,400,350,350,0.20945454545454545,0.22285714285714286,0.2114285714285714,0.9928,0.9989142857142856,0.7872727272727272,0.9958571428571428,0.8081311688311688,0.011454545454545384,-0.022909090909090934,0.0
phone,0.01,0.1,1200,1200,800,800,0.16171428571428575,0.16500000000000004,0.17000000000000004,0.956603125,0.9840593750000001,0.8351428571428572,0.9703312500000001,0.8486616964285716,0.008785714285714286,-0.016571428571428543,-0.0024999999999999467
yue,0.01,0.1,124,124,108,124,0.10122282608695654,0.10208333333333333,0.17741935483870966,0.9837962962962963,,0.8757461138382421,,,0.010529891304347672,-0.02105978260869562,0.0
factorial,0.025,0.0,400,400,350,350,0.23236363636363638,0.22285714285714286,0.2114285714285714,0.9928,0.9989142857142856,0.7758181818181819,0.9958571428571428,0.7978220779220779,0.0,0.0,0.0
phone,0.025,0.0,1200,1200,800,800,0.1782857142857143,0.16249999999999998,0.17000000000000004,0.956603125,0.9840593750000001,0.8273571428571429,0.9703312500000001,0.8416545535714287,0.0010000000000000009,0.0,-0.0050000000000000044
yue,0.025,0.0,124,124,108,124,0.12228260869565216,0.10208333333333333,0.17741935483870966,0.9837962962962963,,0.8652162225338944,,,0.0,0.0,0.0
factorial,0.025,0.01,400,400,350,350,0.23236363636363638,0.22285714285714286,0.2114285714285714,0.9928,0.9989142857142856,0.7758181818181819,0.9958571428571428,0.7978220779220779,0.0,0.0,0.0
phone,0.025,0.01,1200,1200,800,800,0.17585714285714285,0.16249999999999998,0.17000000000000004,0.956603125,0.9840593750000001,0.8285714285714286,0.9703312500000001,0.8427474107142858,0.002214285714285724,-0.0024285714285714466,-0.0050000000000000044
