BANK,ROLE,MODEL,GROUP,VALUE,N,FILE_EER
codec_mixed_dev_v4,selection,learned_monotone_l2_1,MIX_MODE_X_FILE_CASE,concurrent__RR_vs_FF,100,0.16000000000000003
codec_mixed_dev_v4,selection,learned_monotone_l2_1,MIX_MODE_X_FILE_CASE,partial_overlap__RR_vs_RF,100,0.31999999999999995
codec_mixed_dev_v4,selection,learned_monotone_l2_1,MIX_MODE_X_FILE_CASE,partial_overlap__RR_vs_FR,100,0.21999999999999997
codec_mixed_dev_v4,selection,learned_monotone_l2_1,MIX_MODE_X_FILE_CASE,partial_overlap__RR_vs_FF,100,0.21999999999999997
codec_mixed_dev_v4,selection,learned_monotone_l2_1,MIX_MODE_X_FILE_CASE,sequential__RR_vs_RF,100,0.24
codec_mixed_dev_v4,selection,learned_monotone_l2_1,MIX_MODE_X_FILE_CASE,sequential__RR_vs_FR,100,0.09999999999999999
codec_mixed_dev_v4,selection,learned_monotone_l2_1,MIX_MODE_X_FILE_CASE,sequential__RR_vs_FF,100,0.14
codec_mixed_blind_v5,retrospective_selection,input_file,MIX_MODE,concurrent,80,0.30000000000000004
codec_mixed_blind_v5,retrospective_selection,input_file,MIX_MODE,partial_overlap,80,0.25833333333333336
codec_mixed_blind_v5,retrospective_selection,input_file,MIX_MODE,sequential,80,0.050000000000000024
codec_mixed_blind_v5,retrospective_selection,input_file,CHANNEL,clean,48,0.08333333333333334
codec_mixed_blind_v5,retrospective_selection,input_file,CHANNEL,g711_ulaw,48,0.25
codec_mixed_blind_v5,retrospective_selection,input_file,CHANNEL,g722_wb,48,0.09722222222222224
codec_mixed_blind_v5,retrospective_selection,input_file,CHANNEL,opus_nb_8k,48,0.41666666666666663
codec_mixed_blind_v5,retrospective_selection,input_file,CHANNEL,transcode_g711_opus,48,0.2638888888888889
codec_mixed_blind_v5,retrospective_selection,input_file,IS_PHONE,False,96,0.125
codec_mixed_blind_v5,retrospective_selection,input_file,IS_PHONE,True,144,0.2777777777777778
codec_mixed_blind_v5,retrospective_selection,input_file,MIX_MODE_X_FILE_CASE,concurrent__RR_vs_RF,40,0.35
codec_mixed_blind_v5,retrospective_selection,input_file,MIX_MODE_X_FILE_CASE,concurrent__RR_vs_FR,40,0.25
codec_mixed_blind_v5,retrospective_selection,input_file,MIX_MODE_X_FILE_CASE,concurrent__RR_vs_FF,40,0.30000000000000004
codec_mixed_blind_v5,retrospective_selection,input_file,MIX_MODE_X_FILE_CASE,partial_overlap__RR_vs_RF,40,0.5
codec_mixed_blind_v5,retrospective_selection,input_file,MIX_MODE_X_FILE_CASE,partial_overlap__RR_vs_FR,40,0.09999999999999999
codec_mixed_blind_v5,retrospective_selection,input_file,MIX_MODE_X_FILE_CASE,partial_overlap__RR_vs_FF,40,0.15000000000000002
codec_mixed_blind_v5,retrospective_selection,input_file,MIX_MODE_X_FILE_CASE,sequential__RR_vs_RF,40,0.09999999999999999
codec_mixed_blind_v5,retrospective_selection,input_file,MIX_MODE_X_FILE_CASE,sequential__RR_vs_FR,40,0.0
codec_mixed_blind_v5,retrospective_selection,input_file,MIX_MODE_X_FILE_CASE,sequential__RR_vs_FF,40,0.0
codec_mixed_blind_v5,retrospective_selection,max_logit_w20_gated_v51,MIX_MODE,concurrent,80,0.30000000000000004
codec_mixed_blind_v5,retrospective_selection,max_logit_w20_gated_v51,MIX_MODE,partial_overlap,80,0.25
