MODE,ROUTE,POOL,WEIGHT,FILE_RATIO,dev,factorial,factorial_plus_phone,phone,yue,MIN_AUDIT_DELTA,MEAN_AUDIT_DELTA
residual,hard_nonphone,LME_T5,0.05,0.0,-0.0034285714285713365,0.0,-0.001565217391304441,0.0,-0.004838709677419395,-0.004838709677419395,-0.002066820276497683
residual,soft_nonphone,LME_T5,0.05,0.0,-0.0034285714285713365,0.0,-0.001565217391304441,0.0,-0.004838709677419395,-0.004838709677419395,-0.002066820276497683
moe,global,LME_T5,0.01,0.25,-0.0026233766233766387,0.0,-0.00260869565217392,-0.0008571428571428896,-0.004838709677419395,-0.004838709677419395,-0.002079807289484731
moe,global,LME_T5,0.01,0.5,-0.0026233766233766387,0.0,-0.0035215161649944093,-0.0008571428571428896,-0.004838709677419395,-0.004838709677419395,-0.002079807289484731
moe,hard_nonphone,LME_T5,0.025,0.25,-0.004337662337662307,0.0,-0.002221627647714608,0.0,-0.004838709677419395,-0.004838709677419395,-0.0022940930037704255
moe,hard_nonphone,MEAN,0.025,0.25,-0.004337662337662307,0.0,-0.002221627647714608,0.0,-0.004838709677419395,-0.004838709677419395,-0.0022940930037704255
moe,soft_nonphone,LME_T5,0.025,0.25,-0.004337662337662307,0.0,-0.002221627647714608,0.0,-0.004838709677419395,-0.004838709677419395,-0.0022940930037704255
moe,soft_nonphone,MEAN,0.025,0.25,-0.004337662337662307,0.0,-0.002221627647714608,0.0,-0.004838709677419395,-0.004838709677419395,-0.0022940930037704255
residual,global,LME_T5,0.075,0.0,-0.0034285714285713365,0.0,-0.0020869565217391806,-0.0015000000000000568,-0.004838709677419395,-0.004838709677419395,-0.002441820276497697
moe,hard_nonphone,LME_T5,0.05,0.0,-0.0034285714285713365,-0.0017142857142856682,-0.0020869565217391806,0.0,-0.004838709677419395,-0.004838709677419395,-0.0024953917050691
moe,hard_nonphone,MEAN,0.05,0.0,-0.0034285714285713365,-0.0017142857142856682,-0.001565217391304441,0.0,-0.004838709677419395,-0.004838709677419395,-0.0024953917050691
moe,soft_nonphone,LME_T5,0.05,0.0,-0.0034285714285713365,-0.0017142857142856682,-0.0020869565217391806,0.0,-0.004838709677419395,-0.004838709677419395,-0.0024953917050691
moe,soft_nonphone,MEAN,0.05,0.0,-0.0034285714285713365,-0.0017142857142856682,-0.001565217391304441,0.0,-0.004838709677419395,-0.004838709677419395,-0.0024953917050691
