DURATION,MIX_MODE,COMPONENT_CASE,CHANNEL,FILE_MEDIAN_PROB,FILE_ERROR_AT_FIXED_HALF,VOICE_MEDIAN_PROB,VOICE_ERROR_AT_FIXED_HALF,MUSIC_MEDIAN_PROB,MUSIC_ERROR_AT_FIXED_HALF
30,sparse_music,FF,g711_ulaw,0.9688592851161957,0.0,0.9536353647708893,0.0,0.045523177832365036,1.0
30,sparse_music,FF,opus_nb_8k,0.6283133924007416,0.2,0.7537806332111359,0.3,0.037390900775790215,1.0
30,sparse_music,FR,clean,0.8681610524654388,0.4,0.8616581857204437,0.2,0.018992761615663767,0.0
30,sparse_music,FR,g711_ulaw,0.9277149140834808,0.1,0.9554758965969086,0.0,0.02161618648096919,0.0
30,sparse_music,FR,opus_nb_8k,0.6960683763027191,0.4,0.7146844267845154,0.2,0.018101900815963745,0.0
30,sparse_music,RF,clean,0.09996616095304489,1.0,0.10147856920957565,0.0,0.01563089480623603,1.0
30,sparse_music,RF,g711_ulaw,0.45498234033584595,0.6,0.5382092893123627,0.8,0.01861240714788437,1.0
30,sparse_music,RF,opus_nb_8k,0.2881157845258713,0.9,0.44109466671943665,0.3,0.017542092595249414,1.0
30,sparse_music,RR,clean,0.1244763433933258,0.0,0.10457108169794083,0.0,0.009019881021231413,0.0
30,sparse_music,RR,g711_ulaw,0.47395896911621094,0.5,0.5790472626686096,0.6,0.013739548623561859,0.0
30,sparse_music,RR,opus_nb_8k,0.3141750246286392,0.1,0.47471699118614197,0.4,0.01595030352473259,0.0
30,sparse_voice,FF,clean,0.999890923500061,0.1,0.21668749302625656,0.9,0.99541375041008,0.2
30,sparse_voice,FF,g711_ulaw,0.9128491580486298,0.3,0.7584915161132812,0.3,0.4420146197080612,0.6
30,sparse_voice,FF,opus_nb_8k,0.3628685027360916,0.6,0.4142066687345505,0.7,0.02392370905727148,1.0
30,sparse_voice,FR,clean,0.10000640526413918,1.0,0.147946335375309,1.0,0.009753620717674494,0.0
30,sparse_voice,FR,g711_ulaw,0.4137229472398758,0.7,0.5388012528419495,0.3,0.013625392224639654,0.0
30,sparse_voice,FR,opus_nb_8k,0.2677481397986412,0.9,0.423556387424469,0.6,0.016979833599179983,0.0
30,sparse_voice,RF,clean,0.9998988509178162,0.1,0.21012676507234573,0.2,0.9960249662399292,0.2
30,sparse_voice,RF,g711_ulaw,0.8859684467315674,0.3,0.7148560881614685,0.7,0.4113025963306427,0.6
30,sparse_voice,RF,opus_nb_8k,0.35692964494228363,0.6,0.43753044307231903,0.2,0.032547046430408955,1.0
30,sparse_voice,RR,clean,0.07353186048567295,0.0,0.10137109085917473,0.0,0.00953800417482853,0.0
30,sparse_voice,RR,g711_ulaw,0.3931097835302353,0.2,0.5226537585258484,0.6,0.013178666587918997,0.0
30,sparse_voice,RR,opus_nb_8k,0.24606136977672577,0.0,0.3490971326828003,0.4,0.016856244765222073,0.0
60,concurrent,FF,clean,0.9999886751174927,0.0,0.9908771514892578,0.0,0.9986329674720764,0.0
60,concurrent,FF,g711_ulaw,0.9993875622749329,0.0,0.9856636822223663,0.0,0.8296888470649719,0.2
60,concurrent,FF,opus_nb_8k,0.8242585361003876,0.0,0.8065631687641144,0.1,0.04726976715028286,0.9
60,concurrent,FR,clean,0.8891756534576416,0.0,0.9098438620567322,0.0,0.04246667958796024,0.0
60,concurrent,FR,g711_ulaw,0.9855391383171082,0.0,0.9886020720005035,0.0,0.045050814747810364,0.0
60,concurrent,FR,opus_nb_8k,0.47586627304553986,0.5,0.6554088592529297,0.4,0.024816541001200676,0.0
60,concurrent,RF,clean,0.9999848008155823,0.0,0.2705141752958298,0.2,0.9995418787002563,0.0
60,concurrent,RF,g711_ulaw,0.9996516704559326,0.0,0.7644024789333344,1.0,0.9855449497699738,0.1
60,concurrent,RF,opus_nb_8k,0.6963845491409302,0.2,0.4563252627849579,0.5,0.16658703982830048,0.8
60,concurrent,RR,clean,0.32212139666080475,0.2,0.27879777550697327,0.1,0.032738832756876945,0.0
