VIEWS,METHOD,NORMAL_WEIGHT,PHONE_WEIGHT,FILE_EER,WORST_CHANNEL_EER,MIN_CHANNEL_DELTA,ROBUST_OBJECTIVE
2,hard,0.7000000000000001,1.0,0.17527272727272727,0.19782608695652174,-0.09347826086956519,0.1865494071146245
2,hard,0.8,0.0,0.17527272727272727,0.19782608695652174,-0.09347826086956519,0.1865494071146245
2,hard,0.8,0.1,0.16945454545454547,0.19782608695652174,-0.09347826086956519,0.18364031620553362
2,hard,0.8,0.2,0.16945454545454547,0.19782608695652174,-0.09347826086956519,0.18364031620553362
2,hard,0.8,0.30000000000000004,0.17527272727272727,0.19782608695652174,-0.09347826086956519,0.1865494071146245
2,hard,0.8,0.4,0.17527272727272727,0.19782608695652174,-0.09347826086956519,0.1865494071146245
2,hard,0.8,0.5,0.16945454545454547,0.19782608695652174,-0.09347826086956519,0.18364031620553362
2,hard,0.8,0.6000000000000001,0.16945454545454547,0.19782608695652174,-0.09347826086956519,0.18364031620553362
2,hard,0.8,0.7000000000000001,0.16945454545454547,0.19782608695652174,-0.09347826086956519,0.18364031620553362
2,hard,0.8,0.8,0.17527272727272727,0.19782608695652174,-0.09347826086956519,0.1865494071146245
2,hard,0.8,0.9,0.17527272727272727,0.19782608695652174,-0.09347826086956519,0.1865494071146245
2,hard,0.8,1.0,0.17527272727272727,0.19782608695652174,-0.09347826086956519,0.1865494071146245
2,hard,0.9,0.0,0.16945454545454547,0.19782608695652174,-0.09347826086956519,0.18364031620553362
2,hard,0.9,0.1,0.16763636363636364,0.19782608695652174,-0.09347826086956519,0.1827312252964427
2,hard,0.9,0.2,0.16763636363636364,0.19782608695652174,-0.09347826086956519,0.1827312252964427
2,hard,0.9,0.30000000000000004,0.16945454545454547,0.19782608695652174,-0.09347826086956519,0.18364031620553362
2,hard,0.9,0.4,0.17527272727272727,0.19782608695652174,-0.09347826086956519,0.1865494071146245
2,hard,0.9,0.5,0.16763636363636364,0.19782608695652174,-0.09347826086956519,0.1827312252964427
2,hard,0.9,0.6000000000000001,0.16763636363636364,0.19782608695652174,-0.09347826086956519,0.1827312252964427
