axis,group,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE,variant
CHANNEL_V57,clean_flac,66,66,58,58,0.19782608695652174,0.2068965517241379,0.24166666666666664,0.9892241379310345,1.0,0.7872076461769115,0.9946120689655172,0.807948088455772,parent_global
CHANNEL_V57,common_flac16k,511,511,0,511,0.05088082107843139,,0.04696691176470591,,,,,,parent_global
CHANNEL_V57,flac16k,600,600,600,600,0.1788888888888889,0.19666666666666666,0.11333333333333331,,,0.8372222222222223,,,parent_global
CHANNEL_V57,g711_ulaw,120,120,120,120,0.2333333333333333,0.2666666666666667,0.11666666666666668,,,0.7949999999999999,,,parent_global
CHANNEL_V57,g722_wb,120,120,120,120,0.1333333333333333,0.2666666666666667,0.08333333333333334,,,0.855,,,parent_global
CHANNEL_V57,mp3_64k,67,67,58,59,0.18219461697722567,0.2068965517241379,0.20344827586206893,1.0,1.0,0.8064888984079388,1.0,0.8258400085671449,parent_global
CHANNEL_V57,noisy_flac,66,66,58,58,0.23015873015873015,0.24137931034482762,0.10357142857142855,1.0,1.0,0.8055733442802409,1.0,0.8250160098522168,parent_global
CHANNEL_V57,ogg_48k,67,67,59,58,0.19306418219461696,0.339080459770115,0.10357142857142855,1.0,1.0,0.80458038837724,1.0,0.824122349539516,parent_global
CHANNEL_V57,opus_nb_8k,120,120,120,120,0.30000000000000004,0.2666666666666667,0.2833333333333333,,,0.7116666666666667,,,parent_global
CHANNEL_V57,stereo_wav,67,67,59,58,0.17979797979797982,0.271264367816092,0.20714285714285716,0.9936440677966102,1.0,0.7937052793949344,0.9968220338983051,0.8140169548452716,parent_global
CHANNEL_V57,telephone8k,600,600,600,600,0.21333333333333337,0.19666666666666666,0.14666666666666664,,,0.81,,,parent_global
CHANNEL_V57,telephone_flac,67,67,58,59,0.19574468085106386,0.27586206896551724,0.16993087557603687,1.0,1.0,0.7959759831085536,1.0,0.8163783847976982,parent_global
CHANNEL_V57,transcode_g711_opus,120,120,120,120,0.3055555555555556,0.25,0.33333333333333337,,,0.6972222222222222,,,parent_global
CHANNEL_V57,unknown,90,90,90,0,0.125,0.1333333333333333,,,,,,,parent_global
CHANNEL_V57,wav,176,176,176,0,0.1988372093023256,0.24431524547803618,,,,,,,parent_global
CHANNEL_V57,wav16k,1600,1600,1600,1600,0.11250000000000002,0.12749999999999997,0.09624999999999997,,,0.889375,,,parent_global
LAYOUT_V57,concurrent,1900,1900,1900,1900,0.13649122807017544,0.15263157894736845,0.11157894736842103,,,0.8677543859649124,,,parent_global
LAYOUT_V57,music_only,50,50,0,50,0.12,,0.12,,,,,,parent_global
LAYOUT_V57,partial_overlap,300,300,300,300,0.25555555555555554,0.28,0.2333333333333333,,,0.7462222222222222,,,parent_global
LAYOUT_V57,sequential,900,900,900,900,0.1822222222222222,0.21333333333333337,0.13555555555555554,,,0.8255555555555555,,,parent_global
LAYOUT_V57,simultaneous,600,600,600,600,0.20666666666666667,0.22333333333333336,0.16000000000000003,,,0.804,,,parent_global
LAYOUT_V57,source_disjoint,400,400,0,400,0.03500000000000002,,0.03500000000000002,,,,,,parent_global
LAYOUT_V57,source_matched_instrumental,61,61,0,61,0.027272727272727282,,0.018181818181818188,,,,,,parent_global
LAYOUT_V57,speech_only,266,266,266,0,0.17654109589041098,0.1993150684931507,,,,,,,parent_global
LAYOUT_V57,voice_only,50,50,50,0,0.19999999999999998,0.19999999999999998,,,,,,,parent_global
LAYOUT_V57,voice_screened_instrumental,50,50,0,50,,,,,,,,,parent_global
VOICE_GENERATOR,A07,20,20,20,20,,,0.0,,,,,,parent_global
VOICE_GENERATOR,A08,25,25,25,25,,,0.0,,,,,,parent_global
VOICE_GENERATOR,A09,20,20,20,20,,,0.4,,,,,,parent_global
VOICE_GENERATOR,A10,25,25,25,25,,,0.2833333333333333,,,,,,parent_global
VOICE_GENERATOR,A11,25,25,25,25,,,0.4,,,,,,parent_global
VOICE_GENERATOR,A12,20,20,20,20,,,0.0,,,,,,parent_global
VOICE_GENERATOR,A13,25,25,25,25,,,0.08333333333333331,,,,,,parent_global
VOICE_GENERATOR,A14,25,25,25,25,,,0.4,,,,,,parent_global
VOICE_GENERATOR,A15,25,25,25,25,,,0.19999999999999998,,,,,,parent_global
VOICE_GENERATOR,A16,20,20,20,20,,,0.03333333333333333,,,,,,parent_global
VOICE_GENERATOR,A17,20,20,20,20,,,0.4,,,,,,parent_global
VOICE_GENERATOR,A18,25,25,25,25,,,0.19999999999999998,,,,,,parent_global
VOICE_GENERATOR,A19,25,25,25,25,,,0.0,,,,,,parent_global
VOICE_GENERATOR,ASVspoof2019-LA,800,800,800,800,,,0.10250000000000001,,,,,,parent_global
VOICE_GENERATOR,bonafide,1275,1275,1275,1250,0.22116923076923078,,0.13119999999999998,,0.999936,,,,parent_global
VOICE_GENERATOR,cosyvoice3_0.5b,43,43,43,37,,,0.10882352941176472,,1.0,,,,parent_global
VOICE_GENERATOR,f5tts_v1_base,42,42,42,39,,,0.15476190476190474,,1.0,,,,parent_global
VOICE_GENERATOR,qwen3tts_custom_0.6b,47,47,47,38,,,0.21130952380952384,,1.0,,,,parent_global
VOICE_GENERATOR,qwen3tts_finetuned_1.7b,43,43,43,36,,,0.19375,,1.0,,,,parent_global
VOICE_GENERATOR,nan,2027,2027,1466,1761,0.14003588925968719,0.19986595174262736,0.10675755855948818,0.999872328939017,0.9974062071703962,0.8579815974537846,0.9986392680547066,0.8720473645138768,parent_global
MUSIC_GENERATOR,FMA,1100,1100,1100,1100,0.16181818181818183,0.15090909090909088,,,,,,,parent_global
MUSIC_GENERATOR,MusicGen_medium,192,192,192,192,,0.20833333333333337,,,,,,,parent_global
MUSIC_GENERATOR,acestep,11,11,9,11,,0.45,,1.0,,,,,parent_global
MUSIC_GENERATOR,audioldm,16,16,15,16,,0.33333333333333337,,1.0,,,,,parent_global
MUSIC_GENERATOR,audioldm2,192,192,192,192,,0.15625,,,,,,,parent_global
MUSIC_GENERATOR,brev,11,11,9,11,,0.22499999999999998,,1.0,,,,,parent_global
MUSIC_GENERATOR,diffrhythm,19,19,17,19,,0.4807692307692308,,1.0,,,,,parent_global
MUSIC_GENERATOR,elevenlabs,12,12,10,12,,0.4,,1.0,,,,,parent_global
MUSIC_GENERATOR,mubert,15,15,14,15,,0.21111111111111108,,1.0,,,,,parent_global
MUSIC_GENERATOR,musicgen,14,14,13,14,,0.2361111111111111,,1.0,,,,,parent_global
MUSIC_GENERATOR,musicldm,194,194,194,194,,0.2061855670103093,,,,,,,parent_global
MUSIC_GENERATOR,mustango,192,192,192,192,,0.15625,,,,,,,parent_global
MUSIC_GENERATOR,producer,17,17,14,17,,0.21111111111111108,,1.0,,,,,parent_global
MUSIC_GENERATOR,real,175,175,150,175,0.21666666666666667,0.22666666666666668,,0.9952,,,,,parent_global
MUSIC_GENERATOR,songgen,15,15,14,15,,0.2111111111111111,,1.0,,,,,parent_global
MUSIC_GENERATOR,stable_audio_open,60,60,60,60,,0.2666666666666667,,,,,,,parent_global
