MODEL,AXIS,GROUP,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE,NORMALIZED_AVAILABLE_ADS
v1_strict,VOICE_GENERATOR_V57,absent,561,561,0,561,0.09269191662430096,,0.11051728520589733,,,,,,0.9006235701576004
v1_strict,VOICE_GENERATOR_V57,bonafide,1275,1275,1275,1250,0.17412307692307694,,0.14400000000000002,,1.0,,,,0.8371730769230769
v1_strict,VOICE_GENERATOR_V57,cosyvoice3_0.5b,43,43,43,37,,,0.1632352941176471,,1.0,,,,0.8367647058823529
v1_strict,VOICE_GENERATOR_V57,f5tts_v1_base,42,42,42,39,,,0.17857142857142855,,1.0,,,,0.8214285714285714
v1_strict,VOICE_GENERATOR_V57,qwen3tts_custom_0.6b,47,47,47,38,,,0.28869047619047616,,1.0,,,,0.7113095238095238
v1_strict,VOICE_GENERATOR_V57,qwen3tts_finetuned_1.7b,43,43,43,36,,,0.1125,,1.0,,,,0.8875
v1_strict,VOICE_GENERATOR_V57,real_unspecified,720,720,720,600,0.18333333333333335,,0.16666666666666663,,0.998263888888889,,,,0.8229166666666666
v1_strict,VOICE_GENERATOR_V57,unknown_fake,746,746,746,600,,,0.18000000000000002,,0.9996689497716894,,,,0.82
v1_strict,MUSIC_GENERATOR_V57,FMA,1100,1100,1100,1100,0.12363636363636366,0.12909090909090912,,,,,,,0.8748051948051948
v1_strict,MUSIC_GENERATOR_V57,MusicGen_medium,192,192,192,192,,0.15625,,,,,,,0.84375
v1_strict,MUSIC_GENERATOR_V57,absent,316,316,316,0,0.05390199637023596,0.05682597297842307,,,,,,,0.9452625817417106
v1_strict,MUSIC_GENERATOR_V57,audioldm2,192,192,192,192,,0.16666666666666663,,,,,,,0.8333333333333334
v1_strict,MUSIC_GENERATOR_V57,musicldm,194,194,194,194,,0.1443298969072165,,,,,,,0.8556701030927835
v1_strict,MUSIC_GENERATOR_V57,mustango,192,192,192,192,,0.11458333333333334,,,,,,,0.8854166666666666
v1_strict,MUSIC_GENERATOR_V57,real,175,175,150,175,0.30833333333333335,0.30666666666666664,,1.0,,,,,0.6921428571428573
v1_strict,MUSIC_GENERATOR_V57,real_unspecified,856,856,600,856,0.24306954436450837,0.19666666666666666,,0.9821223958333334,,,,,0.770188420692018
