ROUTE,NONPHONE_W,PHONE_W,dev_FILE_EER,dev_ADS,factorial_FILE_EER,factorial_ADS,phone_FILE_EER,phone_ADS,yue_FILE_EER,yue_ADS,dev_DELTA,factorial_DELTA,phone_DELTA,yue_DELTA,AUDIT_MIN_DELTA,AUDIT_MEAN_DELTA
soft,0.0,0.1,0.19999999999999998,0.7914285714285714,0.21527272727272728,0.7906493506493506,0.12585714285714283,0.8663214285714285,0.09578804347826086,0.8881409244974288,0.0038181818181817206,-0.0038181818181819427,0.01207142857142851,0.0,-0.0038181818181819427,0.0027510822510821895
hard,0.0,0.1,0.19999999999999998,0.7914285714285714,0.21527272727272728,0.7906493506493506,0.12585714285714283,0.8663214285714285,0.09578804347826086,0.8881409244974288,0.0038181818181817206,-0.0038181818181819427,0.01207142857142851,0.0,-0.0038181818181819427,0.0027510822510821895
soft,0.0,0.25,0.19999999999999998,0.7914285714285714,0.2229090909090909,0.7868311688311689,0.09828571428571427,0.8801071428571428,0.09578804347826086,0.8881409244974288,0.0038181818181817206,-0.007636363636363663,0.0258571428571428,0.0,-0.007636363636363663,0.006073593073593046
soft,0.0,0.2,0.19999999999999998,0.7914285714285714,0.2229090909090909,0.7868311688311689,0.10242857142857142,0.8780357142857143,0.09578804347826086,0.8881409244974288,0.0038181818181817206,-0.007636363636363663,0.0237857142857143,0.0,-0.007636363636363663,0.0053831168831168785
hard,0.0,0.2,0.19999999999999998,0.7914285714285714,0.2229090909090909,0.7868311688311689,0.10242857142857142,0.8780357142857143,0.09578804347826086,0.8881409244974288,0.0038181818181817206,-0.007636363636363663,0.0237857142857143,0.0,-0.007636363636363663,0.0053831168831168785
hard,0.0,0.25,0.19999999999999998,0.7914285714285714,0.22472727272727272,0.7859220779220779,0.1017142857142857,0.8783928571428572,0.09578804347826086,0.8881409244974288,0.0038181818181817206,-0.008545454545454634,0.024142857142857244,0.0,-0.008545454545454634,0.005199134199134203
soft,0.2,0.2,0.19999999999999998,0.7914285714285714,0.21527272727272728,0.7906493506493506,0.10242857142857142,0.8780357142857143,0.14877717391304346,0.8616463592800374,0.0038181818181817206,-0.0038181818181819427,0.0237857142857143,-0.026494565217391353,-0.026494565217391353,-0.002175677583286332
hard,0.2,0.2,0.19999999999999998,0.7914285714285714,0.21527272727272728,0.7906493506493506,0.10242857142857142,0.8780357142857143,0.14877717391304346,0.8616463592800374,0.0038181818181817206,-0.0038181818181819427,0.0237857142857143,-0.026494565217391353,-0.026494565217391353,-0.002175677583286332
soft,0.0,0.025,0.2018181818181818,0.7905194805194805,0.20763636363636362,0.7944675324675325,0.14,0.8592500000000001,0.09578804347826086,0.8881409244974288,0.002909090909090861,0.0,0.0050000000000001155,0.0,0.0,0.0016666666666667052
hard,0.0,0.025,0.2018181818181818,0.7905194805194805,0.20763636363636362,0.7944675324675325,0.14,0.8592500000000001,0.09578804347826086,0.8881409244974288,0.002909090909090861,0.0,0.0050000000000001155,0.0,0.0,0.0016666666666667052
soft,0.15,0.2,0.2018181818181818,0.7905194805194805,0.20945454545454545,0.7935584415584416,0.10242857142857142,0.8780357142857143,0.12771739130434784,0.8721762505843852,0.002909090909090861,-0.0009090909090909705,0.0237857142857143,-0.01596467391304357,-0.01596467391304357,0.0023039831545265863
soft,0.025,0.2,0.20763636363636362,0.7876103896103896,0.20763636363636362,0.7944675324675325,0.10242857142857142,0.8780357142857143,0.09578804347826086,0.8881409244974288,0.0,0.0,0.0237857142857143,0.0,0.0,0.007928571428571432
hard,0.025,0.2,0.20763636363636362,0.7876103896103896,0.20763636363636362,0.7944675324675325,0.10242857142857142,0.8780357142857143,0.09578804347826086,0.8881409244974288,0.0,0.0,0.0237857142857143,0.0,0.0,0.007928571428571432
soft,0.125,0.15,0.20763636363636362,0.7876103896103896,0.20763636363636362,0.7944675324675325,0.11585714285714288,0.8713214285714286,0.09578804347826086,0.8881409244974288,0.0,0.0,0.017071428571428626,0.0,0.0,0.0056904761904762085
hard,0.125,0.15,0.20763636363636362,0.7876103896103896,0.20763636363636362,0.7944675324675325,0.11585714285714288,0.8713214285714286,0.09578804347826086,0.8881409244974288,0.0,0.0,0.017071428571428626,0.0,0.0,0.0056904761904762085
soft,0.0,0.0,0.20763636363636362,0.7876103896103896,0.20763636363636362,0.7944675324675325,0.15000000000000002,0.85425,0.09578804347826086,0.8881409244974288,0.0,0.0,0.0,0.0,0.0,0.0
