GROUP,VALUE,WEIGHT,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
CHANNEL,noisy_flac,0.05,200,200,175,175,0.3396446937821411,0.2628657262277952,0.3428683385579937,0.9958857142857144,0.9986285714285714,0.6747440062959723,0.9972571428571428,0.7069953199520894
CHANNEL,noisy_flac,0.1,200,200,175,175,0.3360215053763441,0.2628657262277952,0.3428683385579937,0.9958857142857144,0.9986285714285714,0.6765556004988709,0.9972571428571428,0.7086257547346981
CHANNEL,noisy_flac,0.15,200,200,175,175,0.2937120149602618,0.2628657262277952,0.3428683385579937,0.9958857142857144,0.9986285714285714,0.697710345706912,0.9972571428571428,0.7276650254219351
CHANNEL,noisy_flac,0.2,200,200,175,175,0.27477793361383823,0.2628657262277952,0.3428683385579937,0.9958857142857144,0.9986285714285714,0.7071773863801237,0.9972571428571428,0.7361853620278257
CHANNEL,noisy_flac,0.25,200,200,175,175,0.2594670406732118,0.2628657262277952,0.3314393939393939,0.9958857142857144,0.9986285714285714,0.7182615162360169,0.9972571428571428,0.7461610788981295
CHANNEL,noisy_flac,0.3,200,200,175,175,0.22522206638616177,0.2628657262277952,0.32001044932079414,0.9958857142857144,0.9986285714285714,0.7388126867651219,0.9972571428571428,0.7646571323743241
CHANNEL,ogg_48k,0.0,201,201,176,175,0.3923927919708029,0.28409090909090906,0.4285994251371832,0.99,0.9997802197802197,0.6184055946552618,0.9948901098901098,0.6560540461787466
CHANNEL,ogg_48k,0.05,201,201,176,175,0.37363138686131386,0.28409090909090906,0.4171674941207212,0.99,0.9997802197802197,0.6312158765149449,0.9948901098901098,0.6675832998524615
CHANNEL,ogg_48k,0.1,201,201,176,175,0.37363138686131386,0.28409090909090906,0.3943036320877973,0.99,0.9997802197802197,0.638075035124822,0.9948901098901098,0.6737565426013508
CHANNEL,ogg_48k,0.15,201,201,176,175,0.3621692518248175,0.28409090909090906,0.3714397700548733,0.99,0.9997802197802197,0.6506652612529474,0.9948901098901098,0.6850877461166637
CHANNEL,ogg_48k,0.2,201,201,176,175,0.3434078467153285,0.28409090909090906,0.36000783903841127,0.99,0.9997802197802197,0.6634755431126306,0.9948901098901098,0.6966169997903785
CHANNEL,ogg_48k,0.25,201,201,176,175,0.3282960766423358,0.28409090909090906,0.36000783903841127,0.99,0.9997802197802197,0.671031428149127,0.9948901098901098,0.7034172963232252
CHANNEL,ogg_48k,0.3,201,201,176,175,0.31318430656934304,0.28409090909090906,0.34857590802194927,0.99,0.9997802197802197,0.6820168924905619,0.9948901098901098,0.7133042142305167
