DATASET,GROUP,VALUE,TASK,MODEL,N,POS,EER,AUC
factorial,OVERLAP_FRACTION,0.25,MUSIC,fused15,30,17,0.13574660633484165,0.9411764705882353
factorial,OVERLAP_FRACTION,0.5,FILE,v18,42,30,0.16666666666666663,0.9111111111111111
factorial,OVERLAP_FRACTION,0.5,FILE,patch,42,30,0.16666666666666663,0.9305555555555556
factorial,OVERLAP_FRACTION,0.5,FILE,fused05,42,30,0.16666666666666663,0.9333333333333333
factorial,OVERLAP_FRACTION,0.5,FILE,fused15,42,30,0.09166666666666665,0.9555555555555556
factorial,OVERLAP_FRACTION,0.5,VOICE,v18,42,22,0.3090909090909091,0.7795454545454545
factorial,OVERLAP_FRACTION,0.5,VOICE,patch,42,22,0.23863636363636365,0.8272727272727273
factorial,OVERLAP_FRACTION,0.5,VOICE,fused05,42,22,0.3090909090909091,0.7795454545454545
factorial,OVERLAP_FRACTION,0.5,VOICE,fused15,42,22,0.3090909090909091,0.7795454545454545
factorial,OVERLAP_FRACTION,0.5,MUSIC,v18,42,20,0.23863636363636365,0.8636363636363636
factorial,OVERLAP_FRACTION,0.5,MUSIC,patch,42,20,0.1431818181818182,0.8806818181818181
factorial,OVERLAP_FRACTION,0.5,MUSIC,fused05,42,20,0.23863636363636365,0.8772727272727272
factorial,OVERLAP_FRACTION,0.5,MUSIC,fused15,42,20,0.1909090909090909,0.9045454545454545
factorial,OVERLAP_FRACTION,0.75,FILE,v18,28,21,0.30952380952380953,0.6190476190476191
factorial,OVERLAP_FRACTION,0.75,FILE,patch,28,21,0.4285714285714286,0.6258503401360545
factorial,OVERLAP_FRACTION,0.75,FILE,fused05,28,21,0.4285714285714286,0.6122448979591837
factorial,OVERLAP_FRACTION,0.75,FILE,fused15,28,21,0.4285714285714286,0.6258503401360545
factorial,OVERLAP_FRACTION,0.75,VOICE,v18,28,12,0.3958333333333333,0.640625
factorial,OVERLAP_FRACTION,0.75,VOICE,patch,28,12,0.4270833333333333,0.6666666666666666
factorial,OVERLAP_FRACTION,0.75,VOICE,fused05,28,12,0.3958333333333333,0.640625
factorial,OVERLAP_FRACTION,0.75,VOICE,fused15,28,12,0.3958333333333333,0.640625
factorial,OVERLAP_FRACTION,0.75,MUSIC,v18,28,13,0.3923076923076923,0.6666666666666666
factorial,OVERLAP_FRACTION,0.75,MUSIC,patch,28,13,0.2487179487179487,0.8153846153846154
factorial,OVERLAP_FRACTION,0.75,MUSIC,fused05,28,13,0.3205128205128205,0.7230769230769232
