DATASET,CELL,TASK,MODEL,N,LABEL_MEAN,GLOBAL_EER_THRESHOLD,ERROR_RATE,SCORE_Q10,SCORE_MEDIAN,SCORE_Q90
factorial,partial_overlap__voice_fake__music_fake,VOICE,patch,25,1.0,0.9841101,0.24,0.8804329500000001,0.9992341,0.999992964
factorial,partial_overlap__voice_fake__music_real,VOICE,patch,25,1.0,0.9841101,0.16,0.974595856,0.99991393,0.99999896
factorial,partial_overlap__voice_real__music_fake,VOICE,patch,25,0.0,0.9841101,0.52,0.42862994000000004,0.9841101,0.99991258
factorial,partial_overlap__voice_real__music_real,VOICE,patch,25,0.0,0.9841101,0.4,0.326040854,0.7694232,0.999641368
factorial,sequential__voice_fake__music_fake,VOICE,patch,25,1.0,0.9841101,0.08,0.98844501,0.99995315,0.99999974
factorial,sequential__voice_fake__music_real,VOICE,patch,25,1.0,0.9841101,0.24,0.853734404,0.99980754,0.999999712
factorial,sequential__voice_real__music_fake,VOICE,patch,25,0.0,0.9841101,0.32,0.13909975000000002,0.8401256,0.999675578
factorial,sequential__voice_real__music_real,VOICE,patch,25,0.0,0.9841101,0.4,0.107416788,0.81643105,0.99994437
factorial,voice_only__voice_fake,VOICE,patch,25,1.0,0.9841101,0.24,0.742620876,0.99991906,0.9999996600000001
factorial,voice_only__voice_real,VOICE,patch,25,0.0,0.9841101,0.36,0.0001456851260000001,0.8192506,0.99994595
factorial,concurrent__voice_fake__music_fake,MUSIC,patch,25,1.0,0.9974038,0.04,0.99954878,0.9999981,0.9999998440000001
factorial,concurrent__voice_fake__music_real,MUSIC,patch,25,0.0,0.9974038,0.12,1.9518245000000002e-05,0.05973773,0.997279582
factorial,concurrent__voice_real__music_fake,MUSIC,patch,25,1.0,0.9974038,0.4,0.24728063600000003,0.9994837,0.9999995
factorial,concurrent__voice_real__music_real,MUSIC,patch,25,0.0,0.9974038,0.12,1.4593631400000003e-05,0.068762384,0.9665949560000001
factorial,music_only__music_fake,MUSIC,patch,25,1.0,0.9974038,0.08,0.99907157,0.99999857,1.0
factorial,music_only__music_real,MUSIC,patch,25,0.0,0.9974038,0.36,3.998272220000001e-05,0.9925857,0.99998812
factorial,partial_overlap__voice_fake__music_fake,MUSIC,patch,25,1.0,0.9974038,0.2,0.81192268,0.99999,0.99999976
factorial,partial_overlap__voice_fake__music_real,MUSIC,patch,25,0.0,0.9974038,0.16,0.00036046676800000017,0.06455253,0.999492492
factorial,partial_overlap__voice_real__music_fake,MUSIC,patch,25,1.0,0.9974038,0.16,0.9466921,0.99999666,0.9999999
factorial,partial_overlap__voice_real__music_real,MUSIC,patch,25,0.0,0.9974038,0.2,0.0005949943880000005,0.11842041,0.99971592
factorial,sequential__voice_fake__music_fake,MUSIC,patch,25,1.0,0.9974038,0.32,0.6057209480000002,0.99997926,0.9999999
factorial,sequential__voice_fake__music_real,MUSIC,patch,25,0.0,0.9974038,0.16,0.012373617280000008,0.4287337,0.998692876
factorial,sequential__voice_real__music_fake,MUSIC,patch,25,1.0,0.9974038,0.16,0.9628865600000001,0.99999714,0.99999976
factorial,sequential__voice_real__music_real,MUSIC,patch,25,0.0,0.9974038,0.24,0.0018486885000000008,0.42420766,0.9992877019999999
factorial,concurrent__voice_fake__music_fake,FILE,fused05,25,1.0,0.6658264435208996,0.36,0.33107643998901765,0.7497133639469691,0.9543964760092775
factorial,concurrent__voice_fake__music_real,FILE,fused05,25,1.0,0.6658264435208996,0.84,0.057453457081059686,0.39198851136288926,0.767227452097963
factorial,concurrent__voice_real__music_fake,FILE,fused05,25,1.0,0.6658264435208996,0.56,0.22029181023198346,0.5987143503918767,0.8465602713629622
factorial,concurrent__voice_real__music_real,FILE,fused05,25,0.0,0.6658264435208996,0.2,0.08565754811939942,0.3595685850945302,0.8264919740523239
factorial,music_only__music_fake,FILE,fused05,25,1.0,0.6658264435208996,0.24,0.3409183623301582,0.8503841642429075,0.8992073364831888
factorial,music_only__music_real,FILE,fused05,25,0.0,0.6658264435208996,0.04,0.11209581156329598,0.33710691017567385,0.6425412882408741
factorial,partial_overlap__voice_fake__music_fake,FILE,fused05,25,1.0,0.6658264435208996,0.2,0.4916572205241977,0.879930998984929,0.9796285186142251
factorial,partial_overlap__voice_fake__music_real,FILE,fused05,25,1.0,0.6658264435208996,0.2,0.6117547586221557,0.88691208253421,0.9512089600531798
factorial,partial_overlap__voice_real__music_fake,FILE,fused05,25,1.0,0.6658264435208996,0.08,0.7028485510577769,0.8394465461414379,0.9391760327272394
factorial,partial_overlap__voice_real__music_real,FILE,fused05,25,0.0,0.6658264435208996,0.36,0.2501236522646767,0.603216781316923,0.8525080213276096
factorial,sequential__voice_fake__music_fake,FILE,fused05,25,1.0,0.6658264435208996,0.0,0.8880554338259654,0.9654837551691111,0.9908814386869464
factorial,sequential__voice_fake__music_real,FILE,fused05,25,1.0,0.6658264435208996,0.04,0.7305495028377607,0.9021241407291732,0.96794108869969
factorial,sequential__voice_real__music_fake,FILE,fused05,25,1.0,0.6658264435208996,0.16,0.6430469494325909,0.8593999747122901,0.9287542980196224
factorial,sequential__voice_real__music_real,FILE,fused05,25,0.0,0.6658264435208996,0.64,0.404129635664739,0.7548316677960047,0.8563961858039552
factorial,voice_only__voice_fake,FILE,fused05,25,1.0,0.6658264435208996,0.04,0.9038067167006997,0.9844078037648436,0.9991976710147685
