ROUTE,FILE_NONPHONE_W,FILE_PHONE_W,VOICE_NONPHONE_W,VOICE_PHONE_W,dev,factorial,phone,yue,factorial_plus_phone,dev_DELTA,factorial_DELTA,phone_DELTA,yue_DELTA,factorial_plus_phone_DELTA,MIN_AUDIT_DELTA,MEAN_AUDIT_DELTA
soft,0.225,0.4,0.225,0.275,0.7914285714285714,0.7933246753246752,0.8620357142857142,0.8881409244974288,0.8402251950947603,0.0026753246753246085,0.0,0.008785714285714175,0.0,0.007228985507246377,0.0,0.0028652597402596958
soft,0.225,0.4,0.275,0.2,0.7914285714285714,0.7933246753246752,0.8620357142857142,0.8881409244974288,0.8388338907469343,0.0026753246753246085,0.0,0.008785714285714175,0.0,0.005837681159420294,0.0,0.0028652597402596958
soft,0.225,0.4,0.3,0.225,0.7914285714285714,0.7933246753246752,0.8620357142857142,0.8881409244974288,0.8388338907469343,0.0026753246753246085,0.0,0.008785714285714175,0.0,0.005837681159420294,0.0,0.0028652597402596958
hard,0.225,0.35,0.3,0.25,0.7925714285714286,0.7935584415584416,0.8603214285714285,0.8881409244974288,0.8361346711259755,0.0038181818181818317,0.00023376623376636374,0.007071428571428395,0.0,0.0031384615384615344,0.0,0.0027808441558441477
hard,0.225,0.35,0.3,0.275,0.7925714285714286,0.7935584415584416,0.8603214285714285,0.8881409244974288,0.836482497212932,0.0038181818181818317,0.00023376623376636374,0.007071428571428395,0.0,0.0034862876254180275,0.0,0.0027808441558441477
hard,0.25,0.35,0.3,0.25,0.7916623376623376,0.7944675324675325,0.8603214285714285,0.8881409244974288,0.8354782608695652,0.002909090909090861,0.0011428571428573342,0.007071428571428395,0.0,0.0024820512820512564,0.0,0.0027808441558441477
hard,0.25,0.35,0.3,0.275,0.7916623376623376,0.7944675324675325,0.8603214285714285,0.8881409244974288,0.8358260869565217,0.002909090909090861,0.0011428571428573342,0.007071428571428395,0.0,0.0028298773690077494,0.0,0.0027808441558441477
soft,0.225,0.35,0.3,0.25,0.7925714285714286,0.7935584415584416,0.8603214285714285,0.8881409244974288,0.8361346711259755,0.0038181818181818317,0.00023376623376636374,0.007071428571428395,0.0,0.0031384615384615344,0.0,0.0027808441558441477
soft,0.225,0.35,0.3,0.275,0.7925714285714286,0.7935584415584416,0.8603214285714285,0.8881409244974288,0.836482497212932,0.0038181818181818317,0.00023376623376636374,0.007071428571428395,0.0,0.0034862876254180275,0.0,0.0027808441558441477
soft,0.25,0.35,0.3,0.25,0.7916623376623376,0.7944675324675325,0.8603214285714285,0.8881409244974288,0.8354782608695652,0.002909090909090861,0.0011428571428573342,0.007071428571428395,0.0,0.0024820512820512564,0.0,0.0027808441558441477
soft,0.25,0.35,0.3,0.275,0.7916623376623376,0.7944675324675325,0.8603214285714285,0.8881409244974288,0.8358260869565217,0.002909090909090861,0.0011428571428573342,0.007071428571428395,0.0,0.0028298773690077494,0.0,0.0027808441558441477
hard,0.25,0.35,0.3,0.3,0.7905194805194805,0.7944675324675325,0.8613214285714286,0.8881409244974288,0.8358260869565217,0.001766233766233749,0.0011428571428573342,0.008071428571428507,0.0,0.0028298773690077494,0.0,0.0027451298701298976
hard,0.25,0.35,0.3,0.35,0.7905194805194805,0.7944675324675325,0.8613214285714286,0.8881409244974288,0.8372173913043478,0.001766233766233749,0.0011428571428573342,0.008071428571428507,0.0,0.004221181716833833,0.0,0.0027451298701298976
soft,0.25,0.35,0.3,0.3,0.7905194805194805,0.7944675324675325,0.8613214285714286,0.8881409244974288,0.8358260869565217,0.001766233766233749,0.0011428571428573342,0.008071428571428507,0.0,0.0028298773690077494,0.0,0.0027451298701298976
soft,0.25,0.35,0.3,0.35,0.7905194805194805,0.7944675324675325,0.8613214285714286,0.8881409244974288,0.8372173913043478,0.001766233766233749,0.0011428571428573342,0.008071428571428507,0.0,0.004221181716833833,0.0,0.0027451298701298976
hard,0.225,0.35,0.3,0.3,0.7914285714285714,0.7935584415584416,0.8613214285714286,0.8881409244974288,0.836482497212932,0.0026753246753246085,0.00023376623376636374,0.008071428571428507,0.0,0.0034862876254180275,0.0,0.00274512987012987
hard,0.225,0.35,0.3,0.35,0.7914285714285714,0.7935584415584416,0.8613214285714286,0.8881409244974288,0.8378738015607581,0.0026753246753246085,0.00023376623376636374,0.008071428571428507,0.0,0.004877591973244111,0.0,0.00274512987012987
soft,0.225,0.35,0.3,0.3,0.7914285714285714,0.7935584415584416,0.8613214285714286,0.8881409244974288,0.836482497212932,0.0026753246753246085,0.00023376623376636374,0.008071428571428507,0.0,0.0034862876254180275,0.0,0.00274512987012987
