STRATEGY,NONPHONE_WEIGHT,PHONE_WEIGHT,MEAN_ADS,WORST_ADS,MIN_DELTA,MEAN_DELTA,MAX_MUSIC_EER,ROBUST_SELECTION
mixed_hard_router,0.5,0.25,0.8326061457340385,0.7682077922077922,0.004838709677419395,0.007541474654377933,0.18285714285714283,1.60565264761925
confidence_soft_router,0.1,0.4,0.8326061457340385,0.7682077922077922,0.004838709677419395,0.007541474654377933,0.18285714285714283,1.60565264761925
phone_soft_router,0.1,0.3,0.83253471716261,0.7664935064935066,0.004838709677419395,0.007470046082949396,0.1885714285714286,1.6038669333335358
phone_hard_router,0.1,0.3,0.83253471716261,0.7664935064935066,0.004838709677419395,0.007470046082949396,0.1885714285714286,1.6038669333335358
phone_soft_router,0.1,0.15,0.8324632885911813,0.7647792207792208,0.004838709677419395,0.007398617511520785,0.19428571428571428,1.6020812190478215
phone_hard_router,0.1,0.15,0.8324632885911813,0.7647792207792208,0.004838709677419395,0.007398617511520785,0.19428571428571428,1.6020812190478215
mixed_hard_router,0.5,0.1,0.8323561457340385,0.7682077922077922,0.004838709677419395,0.007291474654377923,0.18285714285714283,1.60540264761925
phone_soft_router,0.075,0.5,0.8322847171626099,0.7664935064935066,0.004838709677419395,0.007220046082949387,0.1885714285714286,1.603616933333536
phone_hard_router,0.075,0.5,0.8322847171626099,0.7664935064935066,0.004838709677419395,0.007220046082949387,0.1885714285714286,1.603616933333536
phone_soft_router,0.1,0.25,0.8322847171626099,0.7664935064935066,0.004838709677419395,0.007220046082949387,0.1885714285714286,1.603616933333536
phone_hard_router,0.1,0.25,0.8322847171626099,0.7664935064935066,0.004838709677419395,0.007220046082949387,0.1885714285714286,1.603616933333536
phone_soft_router,0.1,0.2,0.8322132885911814,0.7647792207792208,0.004838709677419395,0.007148617511520812,0.19428571428571428,1.6018312190478214
phone_hard_router,0.1,0.2,0.8322132885911814,0.7647792207792208,0.004838709677419395,0.007148617511520812,0.19428571428571428,1.6018312190478214
mixed_hard_router,0.1,0.4,0.8321061457340385,0.7682077922077922,0.004838709677419395,0.0070414746543779145,0.18285714285714283,1.6051526476192501
mixed_hard_router,0.1,0.5,0.8321061457340385,0.7682077922077922,0.004838709677419395,0.0070414746543779145,0.18285714285714283,1.6051526476192501
phone_soft_router,0.4,0.1,0.8320347171626099,0.7664935064935066,0.004838709677419395,0.006970046082949377,0.1885714285714286,1.6033669333335359
phone_hard_router,0.4,0.1,0.8320347171626099,0.7664935064935066,0.004838709677419395,0.006970046082949377,0.1885714285714286,1.6033669333335359
