candidate,axis,group,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
eat_adapted,DURATION|AUDIO_TYPE|CHANNEL,60|voice|opus_nb_8k,20,20,20,0,0.0,0.0,,,,,,
eat_adapted,DURATION|MIX_MODE|CHANNEL,10|concurrent|clean,40,40,40,40,0.18333333333333332,0.15000000000000002,0.09999999999999999,,,0.8483333333333334,,
eat_adapted,DURATION|MIX_MODE|CHANNEL,10|concurrent|g711_ulaw,40,40,40,40,0.19999999999999998,0.09999999999999999,0.15000000000000002,,,0.8350000000000001,,
eat_adapted,DURATION|MIX_MODE|CHANNEL,10|concurrent|opus_nb_8k,40,40,40,40,0.19999999999999998,0.25,0.4,,,0.73,,
eat_adapted,DURATION|MIX_MODE|CHANNEL,10|fake_music|clean,10,10,0,10,,,,,,,,
eat_adapted,DURATION|MIX_MODE|CHANNEL,10|fake_music|g711_ulaw,10,10,0,10,,,,,,,,
eat_adapted,DURATION|MIX_MODE|CHANNEL,10|fake_music|opus_nb_8k,10,10,0,10,,,,,,,,
eat_adapted,DURATION|MIX_MODE|CHANNEL,10|fake_voice|clean,10,10,10,0,,,,,,,,
eat_adapted,DURATION|MIX_MODE|CHANNEL,10|fake_voice|g711_ulaw,10,10,10,0,,,,,,,,
eat_adapted,DURATION|MIX_MODE|CHANNEL,10|fake_voice|opus_nb_8k,10,10,10,0,,,,,,,,
eat_adapted,DURATION|MIX_MODE|CHANNEL,10|real_music|clean,10,10,0,10,,,,,,,,
eat_adapted,DURATION|MIX_MODE|CHANNEL,10|real_music|g711_ulaw,10,10,0,10,,,,,,,,
eat_adapted,DURATION|MIX_MODE|CHANNEL,10|real_music|opus_nb_8k,10,10,0,10,,,,,,,,
eat_adapted,DURATION|MIX_MODE|CHANNEL,10|real_voice|clean,10,10,10,0,,,,,,,,
eat_adapted,DURATION|MIX_MODE|CHANNEL,10|real_voice|g711_ulaw,10,10,10,0,,,,,,,,
eat_adapted,DURATION|MIX_MODE|CHANNEL,10|real_voice|opus_nb_8k,10,10,10,0,,,,,,,,
eat_adapted,DURATION|MIX_MODE|CHANNEL,10|sequential_music_first|clean,40,40,40,40,0.09999999999999999,0.25,0.09999999999999999,,,0.8700000000000001,,
eat_adapted,DURATION|MIX_MODE|CHANNEL,10|sequential_music_first|g711_ulaw,40,40,40,40,0.2833333333333333,0.25,0.25,,,0.7333333333333333,,
eat_adapted,DURATION|MIX_MODE|CHANNEL,10|sequential_music_first|opus_nb_8k,40,40,40,40,0.19999999999999998,0.25,0.5,,,0.7000000000000001,,
eat_adapted,DURATION|MIX_MODE|CHANNEL,10|sequential_voice_first|clean,40,40,40,40,0.09999999999999999,0.15000000000000002,0.15000000000000002,,,0.875,,
eat_adapted,DURATION|MIX_MODE|CHANNEL,10|sequential_voice_first|g711_ulaw,40,40,40,40,0.19999999999999998,0.15000000000000002,0.19999999999999998,,,0.81,,
eat_adapted,DURATION|MIX_MODE|CHANNEL,10|sequential_voice_first|opus_nb_8k,40,40,40,40,0.21666666666666665,0.19999999999999998,0.44999999999999996,,,0.7166666666666668,,
eat_adapted,DURATION|MIX_MODE|CHANNEL,10|sparse_music|clean,40,40,40,40,0.30000000000000004,0.15000000000000002,0.44999999999999996,,,0.685,,
eat_adapted,DURATION|MIX_MODE|CHANNEL,10|sparse_music|g711_ulaw,40,40,40,40,0.21666666666666665,0.15000000000000002,0.44999999999999996,,,0.7266666666666667,,
eat_adapted,DURATION|MIX_MODE|CHANNEL,10|sparse_music|opus_nb_8k,40,40,40,40,0.19999999999999998,0.25,0.4,,,0.73,,
eat_adapted,DURATION|MIX_MODE|CHANNEL,10|sparse_voice|clean,40,40,40,40,0.21666666666666665,0.5,0.09999999999999999,,,0.7616666666666667,,
eat_adapted,DURATION|MIX_MODE|CHANNEL,10|sparse_voice|g711_ulaw,40,40,40,40,0.31666666666666665,0.5,0.15000000000000002,,,0.6966666666666667,,
