MODEL,AXIS,GROUP,N,IDENTITY_FILE_EER,CANDIDATE_FILE_EER,DELTA_FILE_EER,IDENTITY_VOICE_EER,CANDIDATE_VOICE_EER,DELTA_VOICE_EER,IDENTITY_MUSIC_EER,CANDIDATE_MUSIC_EER,DELTA_MUSIC_EER,IDENTITY_ADS,CANDIDATE_ADS,DELTA_ADS,IDENTITY_CPS,CANDIDATE_CPS,DELTA_CPS,IDENTITY_NORMALIZED_AVAILABLE_ADS,CANDIDATE_NORMALIZED_AVAILABLE_ADS,DELTA_NORMALIZED_AVAILABLE_ADS
v2_strict__full,CHANNEL,transcode_g711_opus,120,0.30000000000000004,0.39444444444444443,0.09444444444444439,0.31666666666666665,0.3833333333333333,0.06666666666666665,0.41666666666666663,0.4,-0.016666666666666607,0.6616666666666667,0.6061111111111112,-0.05555555555555558,,,,0.6616666666666667,0.6061111111111112,-0.05555555555555558
v2_strict__voice_only,CHANNEL,clean,120,0.09999999999999999,0.09999999999999999,0.0,0.11666666666666668,0.1333333333333333,0.01666666666666662,0.09999999999999999,0.09999999999999999,0.0,0.8966666666666667,0.8933333333333333,-0.0033333333333334103,,,,0.8966666666666667,0.8933333333333333,-0.0033333333333334103
v2_strict__voice_only,CHANNEL,g711_ulaw,120,0.19999999999999998,0.19999999999999998,0.0,0.09999999999999999,0.11666666666666668,0.01666666666666669,0.25,0.25,0.0,0.805,0.8016666666666666,-0.0033333333333334103,,,,0.805,0.8016666666666666,-0.0033333333333334103
v2_strict__voice_only,CHANNEL,g722_wb,120,0.16666666666666663,0.16666666666666663,0.0,0.09999999999999999,0.11666666666666668,0.01666666666666669,0.09999999999999999,0.09999999999999999,0.0,0.8666666666666667,0.8633333333333334,-0.0033333333333332993,,,,0.8666666666666667,0.8633333333333334,-0.0033333333333332993
v2_strict__voice_only,CHANNEL,opus_nb_8k,120,0.33333333333333337,0.33333333333333337,0.0,0.35,0.3666666666666667,0.01666666666666672,0.35,0.35,0.0,0.6583333333333333,0.655,-0.0033333333333332993,,,,0.6583333333333333,0.655,-0.0033333333333332993
v2_strict__voice_only,CHANNEL,transcode_g711_opus,120,0.30000000000000004,0.30000000000000004,0.0,0.31666666666666665,0.3833333333333333,0.06666666666666665,0.41666666666666663,0.41666666666666663,0.0,0.6616666666666667,0.6483333333333333,-0.01333333333333342,,,,0.6616666666666667,0.6483333333333333,-0.01333333333333342
v2_strict__music_only,CHANNEL,clean,120,0.09999999999999999,0.09999999999999999,0.0,0.11666666666666668,0.11666666666666668,0.0,0.09999999999999999,0.11666666666666668,0.01666666666666669,0.8966666666666667,0.8916666666666666,-0.0050000000000001155,,,,0.8966666666666667,0.8916666666666666,-0.0050000000000001155
v2_strict__music_only,CHANNEL,g711_ulaw,120,0.19999999999999998,0.19999999999999998,0.0,0.09999999999999999,0.09999999999999999,0.0,0.25,0.19999999999999998,-0.05000000000000002,0.805,0.8200000000000001,0.015000000000000013,,,,0.805,0.8200000000000001,0.015000000000000013
v2_strict__music_only,CHANNEL,g722_wb,120,0.16666666666666663,0.16666666666666663,0.0,0.09999999999999999,0.09999999999999999,0.0,0.09999999999999999,0.08333333333333334,-0.01666666666666665,0.8666666666666667,0.8716666666666666,0.004999999999999893,,,,0.8666666666666667,0.8716666666666666,0.004999999999999893
v2_strict__music_only,CHANNEL,opus_nb_8k,120,0.33333333333333337,0.33333333333333337,0.0,0.35,0.35,0.0,0.35,0.3666666666666667,0.01666666666666672,0.6583333333333333,0.6533333333333333,-0.0050000000000000044,,,,0.6583333333333333,0.6533333333333333,-0.0050000000000000044
v2_strict__music_only,CHANNEL,transcode_g711_opus,120,0.30000000000000004,0.30000000000000004,0.0,0.31666666666666665,0.31666666666666665,0.0,0.41666666666666663,0.4,-0.016666666666666607,0.6616666666666667,0.6666666666666667,0.0050000000000000044,,,,0.6616666666666667,0.6666666666666667,0.0050000000000000044
v2_strict__file_only,CHANNEL,clean,120,0.09999999999999999,0.10555555555555558,0.005555555555555591,0.11666666666666668,0.11666666666666668,0.0,0.09999999999999999,0.09999999999999999,0.0,0.8966666666666667,0.8938888888888888,-0.002777777777777879,,,,0.8966666666666667,0.8938888888888888,-0.002777777777777879
v2_strict__file_only,CHANNEL,g711_ulaw,120,0.19999999999999998,0.19999999999999998,0.0,0.09999999999999999,0.09999999999999999,0.0,0.25,0.25,0.0,0.805,0.805,0.0,,,,0.805,0.805,0.0
v2_strict__file_only,CHANNEL,g722_wb,120,0.16666666666666663,0.1333333333333333,-0.033333333333333326,0.09999999999999999,0.09999999999999999,0.0,0.09999999999999999,0.09999999999999999,0.0,0.8666666666666667,0.8833333333333334,0.01666666666666672,,,,0.8666666666666667,0.8833333333333334,0.01666666666666672
v2_strict__file_only,CHANNEL,opus_nb_8k,120,0.33333333333333337,0.4,0.06666666666666665,0.35,0.35,0.0,0.35,0.35,0.0,0.6583333333333333,0.625,-0.033333333333333326,,,,0.6583333333333333,0.625,-0.033333333333333326
v2_strict__file_only,CHANNEL,transcode_g711_opus,120,0.30000000000000004,0.4,0.09999999999999998,0.31666666666666665,0.31666666666666665,0.0,0.41666666666666663,0.41666666666666663,0.0,0.6616666666666667,0.6116666666666667,-0.050000000000000044,,,,0.6616666666666667,0.6116666666666667,-0.050000000000000044
