model,axis,group,rows,real_n,fake_n,MUSIC_EER,FPR_at_05,FNR_at_05
parent,CHANNEL,telephone_flac,59,28,31,0.16993087557603687,0.0,0.45161290322580644
parent,CHANNEL,transcode_g711_opus,120,60,60,0.33333333333333337,0.016666666666666666,0.8166666666666667
parent,CHANNEL_V57,clean,120,60,60,0.06666666666666665,0.06666666666666667,0.05
parent,CHANNEL_V57,clean_flac,58,28,30,0.24166666666666664,0.21428571428571427,0.3333333333333333
parent,CHANNEL_V57,common_flac16k,511,256,255,0.04696691176470591,0.04296875,0.047058823529411764
parent,CHANNEL_V57,flac16k,600,300,300,0.11333333333333331,0.14333333333333334,0.08
parent,CHANNEL_V57,g711_ulaw,120,60,60,0.11666666666666668,0.03333333333333333,0.31666666666666665
parent,CHANNEL_V57,g722_wb,120,60,60,0.08333333333333334,0.1,0.06666666666666667
parent,CHANNEL_V57,mp3_64k,59,29,30,0.20344827586206893,0.2413793103448276,0.16666666666666666
parent,CHANNEL_V57,noisy_flac,58,30,28,0.10357142857142855,0.03333333333333333,0.21428571428571427
parent,CHANNEL_V57,ogg_48k,58,30,28,0.10357142857142855,0.06666666666666667,0.14285714285714285
parent,CHANNEL_V57,opus_nb_8k,120,60,60,0.2833333333333333,0.016666666666666666,0.8333333333333334
parent,CHANNEL_V57,stereo_wav,58,30,28,0.20714285714285716,0.06666666666666667,0.35714285714285715
parent,CHANNEL_V57,telephone8k,600,300,300,0.14666666666666664,0.19333333333333333,0.10666666666666667
parent,CHANNEL_V57,telephone_flac,59,28,31,0.16993087557603687,0.0,0.45161290322580644
parent,CHANNEL_V57,transcode_g711_opus,120,60,60,0.33333333333333337,0.016666666666666666,0.8166666666666667
parent,CHANNEL_V57,wav16k,1600,800,800,0.09624999999999997,0.02,0.24625
parent,LAYOUT_V57,concurrent,1900,950,950,0.11157894736842103,0.024210526315789474,0.2673684210526316
parent,LAYOUT_V57,music_only,50,25,25,0.12,0.04,0.32
parent,LAYOUT_V57,partial_overlap,300,150,150,0.2333333333333333,0.08,0.38666666666666666
parent,LAYOUT_V57,sequential,900,450,450,0.13555555555555554,0.12666666666666668,0.1511111111111111
parent,LAYOUT_V57,simultaneous,600,300,300,0.16000000000000003,0.18666666666666668,0.13
parent,LAYOUT_V57,source_disjoint,400,200,200,0.03500000000000002,0.03,0.035
parent,LAYOUT_V57,source_matched_instrumental,61,6,55,0.018181818181818188,0.0,0.09090909090909091
parent,LAYOUT_V57,voice_screened_instrumental,50,50,0,,0.1,
parent,MIX_MODE,concurrent,300,150,150,0.21333333333333337,0.04666666666666667,0.38
parent,MIX_MODE,music_only,50,25,25,0.12,0.04,0.32
parent,MIX_MODE,partial_overlap,300,150,150,0.2333333333333333,0.08,0.38666666666666666
parent,MIX_MODE,sequential,300,150,150,0.21333333333333337,0.08,0.34
parent,FOREGROUND_LABEL,VOICE_REAL,1850,925,925,0.13513513513513511,0.06486486486486487,0.24756756756756756
parent,FOREGROUND_LABEL,VOICE_FAKE,1850,925,925,0.14918918918918922,0.09513513513513513,0.20540540540540542
factorial_bce,ALL,ALL,4261,2131,2130,0.14268951736384206,0.17691224777099954,0.10657276995305165
factorial_bce,DATASET,codec_mixed_dev_v4,600,300,300,0.15666666666666665,0.25,0.06
factorial_bce,DATASET,echoes_fma_paired_v3,111,56,55,0.05405844155844157,0.21428571428571427,0.03636363636363636
factorial_bce,DATASET,external_mixed_v1,400,200,200,0.135,0.185,0.085
factorial_bce,DATASET,external_mixed_v1_telephone_v1,400,200,200,0.135,0.23,0.065
factorial_bce,DATASET,factorial_eval_1200_v2,350,175,175,0.19428571428571428,0.2857142857142857,0.10857142857142857
factorial_bce,DATASET,mixfake_music_dev_v1,1600,800,800,0.12,0.09,0.16375
factorial_bce,DATASET,source_disjoint_mixed_v1,200,100,100,0.12,0.23,0.06
factorial_bce,DATASET,source_disjoint_mixed_v1_telephone_v1,200,100,100,0.22999999999999998,0.36,0.13
factorial_bce,DATASET,source_disjoint_music_v1,400,200,200,0.050000000000000024,0.13,0.04
factorial_bce,AUDIO_TYPE,mixed,3700,1850,1850,0.1518918918918919,0.18054054054054053,0.11621621621621622
